,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
0,1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,580320,15245006.4,281470.0,10111885.3,1335421.54,517169.75,68601.68,-5133121.1,-50.76324491141132,0.48502550317066445,0.663291640205543
1,4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,656152,15216164.88,316165.0,9512649.27,1113892.89,580923.07,144929.24,-5703515.610000001,-59.95717331855337,0.4818471939428669,0.6251673365148235
2,17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,749628,13673214.72,370767.0,8993720.83,914974.9099999999,681253.23,123780.22,-4679493.890000001,-52.03067760776827,0.4946013222558389,0.6577619831307674
3,3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,806728,13044791.76,394426.0,8817651.74,833509.1599999999,724729.55,257032.07,-4227140.02,-47.939521140579764,0.4889206771055424,0.6759518972957527
4,3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,552436,12092824.04,268226.0,8342749.74,1081569.89,492836.51,257032.07,-3750074.299999999,-44.95009939013224,0.4855331658327843,0.6898925935252425
5,480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,555236,9866543.72,280970.0,6702006.3,885946.99,221233.09,89286.27,-3164537.420000001,-47.217762537764266,0.5060370725241159,0.6792658594736354
6,17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,283132,8709140.32,136810.0,5453887.9,1217927.61,251372.75,123780.22,-3255252.42,-59.68682304599623,0.4832021813147225,0.6262257466991874
7,3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,645544,8353339.36,292642.0,5118025.58,579616.85,537701.24,257032.07,-3235313.7800000003,-63.21409944965536,0.4533261869059274,0.6126921653042957
8,3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,367340,7614958.2,179153.0,5230348.47,998225.2899999999,329165.11,257032.07,-2384609.7300000004,-45.59179457501807,0.4877034899548103,0.6868518949979265
9,12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,435464,7093708.56,211367.0,4812959.33,847424.6,388352.68,123880.97,-2280749.2299999995,-47.38766886692141,0.48538340712435474,0.6784828118171238
10,17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,372820,6121704.4,180270.0,4240933.3,863931.45,141930.12,123780.22,-1880771.1000000006,-44.34804716216595,0.48353092645244355,0.692770023328797
11,3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,267768,5992647.84,121383.0,3638239.17,876058.73,223025.62,257032.07,-2354408.67,-64.71286135924923,0.4533140629201398,0.6071171320489275
12,480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,276004,5912005.68,138999.0,4341400.01,984088.27,255390.79,89286.27,-1570605.67,-36.177400524767584,0.5036122664888915,0.7343362379854818
13,10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,862672,5840289.4399999995,422776.0,4595072.56,375891.25,47526.57,17587.59,-1245216.88,-27.098960108695213,0.4900773410983549,0.7867884986193424
14,9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,171804,5808693.24,82405.0,3976248.95,1311314.8,64878.93,68054.7,-1832444.29,-46.08474753573968,0.47964540988568366,0.6845341603888864
15,3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,126384,5658211.68,56095.0,3439155.05,1003004.79,103074.88,257032.07,-2219056.63,-64.52330871212102,0.44384573996708443,0.6078166114138734
16,17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,242580,5596320.6,117662.0,3633519.38,1000143.23,216179.93,123780.22,-1962801.2199999997,-54.01928584181653,0.4850441091598648,0.6492693395728615
17,3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,256996,5584523.08,126698.0,4029789.02,979495.5700000001,232791.69999999998,257032.07,-1554734.06,-38.581028740804896,0.49299599993774224,0.7215994924315006
18,3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,190184,5492513.92,94459.0,3714128.41,1181091.12,173553.16999999998,257032.07,-1778385.5099999998,-47.88163772722117,0.4966716443023598,0.6762164764800451
19,3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,316312,5269757.92,158084.0,3271333.16,242130.49999999997,290469.9,257032.07,-1998424.7599999998,-61.08900140271864,0.49977237664078505,0.6207748457636931
