,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
0,10754,PERFECTA WINES,2208,WhistlePig 10 Yr Old Rye,53.95,74.99,750.0,2020,108979.0,1872.0,137396.28,76669.65,1475.07,28720.52,28417.28,20.68271426271512,0.9267326732673268,1.260759228842254,53.95,Large,7984.6
1,1485,CASTLE BRANDS CORP.,4639,Jeffersons  Ocean Bourbon,58.82,79.99,750.0,1040,61172.8,852.0,68151.48,39035.119999999995,671.61,8497.59,6978.679999999993,10.23995370313307,0.8192307692307692,1.1140814218083852,58.82,Large,11058.16
2,480,BACARDI USA INC,4881,Bacardi Twin Pack 2/750mls,14.81,19.99,750.0,3384,50117.04,4036.0,79767.64,29988.89,3179.76,89286.27,29650.6,37.171213790454374,1.1926713947990544,1.5916271192392846,14.81,Large,-9656.12
3,9165,ULTRA BEVERAGE COMPANY LLP,24379,Madison's Ranch Cab Svgn,8.78,12.99,750.0,5436,47728.08,3781.0,49115.19,12132.66,423.91,68054.7,1387.1100000000006,2.824197564948849,0.6955481972038263,1.0290627655669367,8.780000000000001,Large,14530.9
4,4425,MARTIGNETTI COMPANIES,21254,Renwood Timberline Znfdl,14.28,21.99,750.0,3252,46438.560000000005,2263.0,49763.369999999995,24980.64,251.88,144929.24,3324.8099999999904,6.68123963469514,0.6958794587945879,1.0715958892782202,14.280000000000001,Large,14122.92
5,8112,MOET HENNESSY USA INC,1112,Ardbeg Exploration Pk +50mls,34.91,46.99,750.0,1156,40355.96,991.0,45754.090000000004,27525.030000000002,781.21,48347.26,5398.130000000005,11.79813651632019,0.8572664359861591,1.1337628940062385,34.91,Large,5760.15
6,653,STATE WINE & SPIRITS,19276,Pali Tower 15 The Winery,9.08,13.99,750.0,4432,40242.56,3143.0,43970.57,22188.14,349.93,8014.9800000000005,3728.010000000002,8.478420907438776,0.7091606498194946,1.092638490195455,9.08,Large,11704.12
7,9165,ULTRA BEVERAGE COMPANY LLP,22447,Pizzolato Pnt Grigio,4.72,12.99,750.0,8384,39572.48,5727.0,40031.73,14930.640000000001,640.0500000000001,68054.7,459.25,1.1472149717236801,0.6830868320610687,1.0116052873107775,4.720000000000001,Large,12541.039999999999
8,480,BACARDI USA INC,4903,Bacardi Superior Rum,2.87,3.99,200.0,13200,37884.0,11800.0,47082.0,15086.19,2478.0,89286.27,9198.0,19.536128456735057,0.8939393939393939,1.2427937915742793,2.87,Large,4018.0
9,3960,DIAGEO NORTH AMERICA INC,2654,Tanqueray Bloomsbury,22.47,28.99,1000.0,1668,37479.96,1678.0,48645.22,34672.04,1761.9,257032.07,11165.260000000002,22.95242985847325,1.0059952038369304,1.2978994641403032,22.47,Large,-224.7
10,2555,DISARONNO INTERNATIONAL LLC,1212,DiSaronna Amaretto Sour VAP,14.38,21.99,750.0,2252,32383.760000000002,3088.0,67321.12,34282.27,2432.42,5861.03,34937.35999999999,51.89658163738214,1.3712255772646536,2.0788543393355186,14.38,Large,-12021.68
11,4425,MARTIGNETTI COMPANIES,14061,Shafer One Pnt Five Cab Svgn,51.61,79.99,750.0,620,31998.2,430.0,34900.7,13483.349999999999,48.02,144929.24,2902.4999999999964,8.316452105545151,0.6935483870967742,1.0907082273377877,51.61,Large,9805.9
12,3089,SIDNEY FRANK IMPORTING CO,3410,American Harvest Organic,12.31,19.99,750.0,2416,29740.96,2302.0,39110.979999999996,22953.489999999998,1813.76,8549.55,9370.019999999997,23.95751781213357,0.9528145695364238,1.3150543896363802,12.31,Large,1403.3400000000001
13,12546,JIM BEAM BRANDS COMPANY,1005,Maker's Mark Combo Pack,27.34,34.99,375.0,988,27011.92,1108.0,38768.92,23233.36,434.44,123880.97,11757.0,30.325838326164362,1.1214574898785425,1.4352522886192467,27.34,Large,-3280.8
